run_name,api,model,runs,avg_tps,median_tps,min_tps,max_tps,total_tokens,total_elapsed_s,samples,sample_tokens,sample_elapsed_s,prompt_preview
gemma4-mtp-3,openai,gemma4-mtp,10,124.2634622194,124.2458904816,124.1307601777,124.4817626927,4740,38.1447788130,"[124.48176269266924, 124.2486558615007, 124.2414359837899, 124.26136938255881, 124.23216687569004, 124.29298651888304, 124.13076017767303, 124.30515623818592, 124.19720336097906, 124.24312510175534]","[474, 474, 474, 474, 474, 474, 474, 474, 474, 474]","[3.807786696997937, 3.8149306059967785, 3.815152297996974, 3.8145402899972396, 3.8154369509975368, 3.813569963000191, 3.8185539129990502, 3.813196606999554, 3.816511058001197, 3.815100429997983]",Write a Python program to find the nth Fibonacci number using recursion. Explain briefly and include code.
gemma4-no-mtp,openai,gemma4-default,10,39.6853471433,39.5366146510,38.2772863444,40.8990723215,5120,129.0510481590,"[38.27728634436108, 40.89907232150232, 39.59851232930656, 39.43613730560029, 39.47471697268053, 39.43714500042251, 39.311649862904034, 40.135658223784134, 40.16749322497395, 40.11579984740567]","[512, 512, 512, 512, 512, 512, 512, 512, 512, 512]","[13.376078842000425, 12.518621350998728, 12.929778667999926, 12.983015959001932, 12.970327319999342, 12.98268421800094, 13.02412902499782, 12.756736095998349, 12.746625664000021, 12.763051015997917]",Write a Python program to find the nth Fibonacci number using recursion. Explain briefly and include code.
gemma4-mtp-4,openai,gemma4-mtp,10,129.8157715983,134.0474421548,91.7708494123,134.1817480099,4750,37.0687009070,"[91.77084941234558, 134.12109441904337, 133.93174775082866, 134.08308249713693, 134.06544699568977, 133.95031865302673, 134.05892136545265, 133.95854393510243, 134.03596294421905, 134.18174800994166]","[475, 475, 475, 475, 475, 475, 475, 475, 475, 475]","[5.1759355290014355, 3.5415756340007647, 3.546582554001361, 3.542579654000292, 3.5430456590001995, 3.546090855001239, 3.5432181249998393, 3.545873119001044, 3.5438250270017306, 3.5399747509982262]",Write a Python program to find the nth Fibonacci number using recursion. Explain briefly and include code.
gemma4-mtp-5,openai,gemma4-mtp,10,132.5236064672,133.0963207956,126.7595464624,133.8955519423,4750,35.8506493600,"[133.89555194232497, 133.0061462033733, 133.10625667486545, 126.75954646239282, 133.1432421943954, 133.02623242716678, 133.09010685746918, 133.10253473369315, 133.25450658788012, 132.85194058811143]","[475, 475, 475, 475, 475, 475, 475, 475, 475, 475]","[3.5475412969999525, 3.5712635360000604, 3.568577555000047, 3.7472522839999556, 3.567586248999987, 3.570724294999991, 3.5690105840000115, 3.5686773429999903, 3.564607398000021, 3.5754088190000175]",Write a Python program to find the nth Fibonacci number using recursion. Explain briefly and include code.
gemma4-mtp-2,openai,gemma4-mtp,10,94.0010910431,96.4166334782,72.2616867491,96.4932146257,4730,50.6978221200,"[72.26168674911402, 96.3345045461736, 96.49321462570747, 96.39211870444186, 96.39571344737321, 96.43755350900385, 96.44050939246678, 96.45220058201973, 96.44959783051125, 96.35381104422618]","[473, 473, 473, 473, 473, 473, 473, 473, 473, 473]","[6.5456540149998546, 4.909974907000105, 4.901899080000021, 4.907040185000142, 4.90685719399994, 4.904728321999983, 4.904577992999975, 4.903983497999889, 4.904115835000084, 4.908991090999962]",Write a Python program to find the nth Fibonacci number using recursion. Explain briefly and include code.
qwen36-mtp-5,openai,qwen36-mtp,10,127.3145330493,126.6758730652,126.3506051743,129.3468022100,13210,103.7669839470,"[129.32583638515214, 129.34680221003708, 128.32698357964222, 126.56902842267122, 126.3506051742782, 126.67791861622484, 126.64230033464682, 126.551859759611, 126.67382751416352, 126.68016849666957]","[1321, 1321, 1321, 1321, 1321, 1321, 1321, 1321, 1321, 1321]","[10.214509620999934, 10.212853951000056, 10.294015826999953, 10.436992497000006, 10.4550350049999, 10.428021034999915, 10.430953927000019, 10.43840843199996, 10.428357821999953, 10.427835829999935]",Write a Python program to find the nth Fibonacci number using recursion. Explain briefly and include code.
qwen36-no-mtp,openai,qwen36-default,10,49.2348684260,49.2500550969,49.0872717041,49.2886565578,14530,295.1163934100,"[49.08727170405148, 49.24686258548786, 49.27566935299683, 49.25326780851683, 49.28865655782022, 49.222525891074525, 49.25967962110676, 49.25324760840461, 49.22962695538831, 49.23187617498345]","[1453, 1453, 1453, 1453, 1453, 1453, 1453, 1453, 1453, 1453]","[29.600341383, 29.504417616000012, 29.487169206999965, 29.50058066500003, 29.47939955100003, 29.519005246000006, 29.496740766000016, 29.500592763999975, 29.514747315000022, 29.51339889700006]",Write a Python program to find the nth Fibonacci number using recursion. Explain briefly and include code.
qwen36-mtp-4,openai,qwen36-mtp,10,121.9594554620,122.0096205498,121.6601931538,122.1336083338,12840,105.2810189570,"[122.13360833382956, 121.8616115978784, 122.0235036035217, 121.91384533661659, 122.08867601101298, 122.00889432448656, 122.05762717398468, 121.6601931538452, 122.01034677521062, 121.83624830971206]","[1284, 1284, 1284, 1284, 1284, 1284, 1284, 1284, 1284, 1284]","[10.51307676500005, 10.53654209199999, 10.522562966000123, 10.53202773199996, 10.516945894999935, 10.52382293200003, 10.519621180000058, 10.553986203000022, 10.523697653, 10.538735539000072]",Write a Python program to find the nth Fibonacci number using recursion. Explain briefly and include code.
