session_name,mode,run_index,tokens,elapsed_s,tok_per_s
Qwen3.6_27B_LLAMA_n_max_5,NO MTP,1,1500,34.606239,43.344785
Qwen3.6_27B_LLAMA_n_max_5,MTP,1,1500,12.880644,116.453802
Qwen3.6_27B_LLAMA_n_max_5,NO MTP,2,1500,34.594147,43.359937
Qwen3.6_27B_LLAMA_n_max_5,MTP,2,1500,12.932624,115.985747
Qwen3.6_27B_LLAMA_n_max_5,NO MTP,3,1500,35.011186,42.843450
Qwen3.6_27B_LLAMA_n_max_5,MTP,3,1500,12.817363,117.028756
Qwen3.6_27B_LLAMA_n_max_5,NO MTP,4,1500,35.174857,42.644097
Qwen3.6_27B_LLAMA_n_max_5,MTP,4,1500,12.778573,117.384002
Qwen3.6_27B_LLAMA_n_max_5,NO MTP,5,1500,34.708897,43.216585
Qwen3.6_27B_LLAMA_n_max_5,MTP,5,1500,12.671748,118.373563
Qwen3.6_27B_LLAMA_n_max_5,NO MTP,6,1500,34.648636,43.291747
Qwen3.6_27B_LLAMA_n_max_5,MTP,6,1500,12.643613,118.636972
Qwen3.6_27B_LLAMA_n_max_5,NO MTP,7,1500,34.621346,43.325872
Qwen3.6_27B_LLAMA_n_max_5,MTP,7,1500,12.643467,118.638344
Qwen3.6_27B_LLAMA_n_max_5,NO MTP,8,1500,34.671057,43.263752
Qwen3.6_27B_LLAMA_n_max_5,MTP,8,1500,13.117474,114.351282
Qwen3.6_27B_LLAMA_n_max_5,NO MTP,9,1500,35.031998,42.817998
Qwen3.6_27B_LLAMA_n_max_5,MTP,9,1500,13.099308,114.509862
Qwen3.6_27B_LLAMA_n_max_5,NO MTP,10,1500,34.994194,42.864253
Qwen3.6_27B_LLAMA_n_max_5,MTP,10,1500,12.925713,116.047761
